GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Not Hispanic or Latino,Margin of Error; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
1400000US13031110800,13031110800,"Census Tract 1108, Bulloch County, Georgia",2697,381,2697,381,0,13
1400000US13031110900,13031110900,"Census Tract 1109, Bulloch County, Georgia",7164,795,7050,790,114,118
1400000US13033950100,13033950100,"Census Tract 9501, Burke County, Georgia",5762,624,5303,624,459,121
1400000US13033950200,13033950200,"Census Tract 9502, Burke County, Georgia",2801,451,2721,431,80,84
1400000US13033950400,13033950400,"Census Tract 9504, Burke County, Georgia",4869,406,4869,406,0,13
1400000US13033950500,13033950500,"Census Tract 9505, Burke County, Georgia",5062,546,5002,544,60,75
1400000US13033950700,13033950700,"Census Tract 9507, Burke County, Georgia",3022,410,3011,410,11,18
1400000US13033950900,13033950900,"Census Tract 9509, Burke County, Georgia",1707,216,1676,217,31,38
1400000US13035150100,13035150100,"Census Tract 1501, Butts County, Georgia",8188,480,8125,481,63,72
1400000US13035150200,13035150200,"Census Tract 1502, Butts County, Georgia",7611,450,7267,476,344,181
1400000US13035150300,13035150300,"Census Tract 1503, Butts County, Georgia",7764,420,7520,422,244,165
1400000US13037950100,13037950100,"Census Tract 9501, Calhoun County, Georgia",3994,889,3693,754,301,159
1400000US13037950200,13037950200,"Census Tract 9502, Calhoun County, Georgia",2598,889,2544,890,54,82
1400000US13039010100,13039010100,"Census Tract 101, Camden County, Georgia",2471,350,2419,353,52,49
1400000US13039010200,13039010200,"Census Tract 102, Camden County, Georgia",5084,423,4952,408,132,103
1400000US13039010301,13039010301,"Census Tract 103.01, Camden County, Georgia",8390,617,8182,628,208,152
1400000US13039010302,13039010302,"Census Tract 103.02, Camden County, Georgia",4453,479,4285,457,168,128
1400000US13039010401,13039010401,"Census Tract 104.01, Camden County, Georgia",10791,704,10169,747,622,261
1400000US13039010402,13039010402,"Census Tract 104.02, Camden County, Georgia",5021,486,4351,592,670,320
1400000US13039010403,13039010403,"Census Tract 104.03, Camden County, Georgia",3969,350,3889,348,80,59
1400000US13039010500,13039010500,"Census Tract 105, Camden County, Georgia",2643,354,2266,320,377,183
1400000US13039010601,13039010601,"Census Tract 106.01, Camden County, Georgia",7148,757,6703,775,445,281
1400000US13039010602,13039010602,"Census Tract 106.02, Camden County, Georgia",829,195,801,200,28,47
1400000US13039990000,13039990000,"Census Tract 9900, Camden County, Georgia",0,13,0,13,0,13
1400000US13043950100,13043950100,"Census Tract 9501, Candler County, Georgia",5577,416,5071,373,506,235
1400000US13043950200,13043950200,"Census Tract 9502, Candler County, Georgia",3188,374,3102,367,86,75
1400000US13043950300,13043950300,"Census Tract 9503, Candler County, Georgia",2280,304,1653,242,627,261
1400000US13045910101,13045910101,"Census Tract 9101.01, Carroll County, Georgia",6179,328,6032,373,147,192
1400000US13045910103,13045910103,"Census Tract 9101.03, Carroll County, Georgia",5156,409,4656,373,500,316
1400000US13045910104,13045910104,"Census Tract 9101.04, Carroll County, Georgia",8984,781,8615,791,369,142
1400000US13045910200,13045910200,"Census Tract 9102, Carroll County, Georgia",11496,815,11375,840,121,134
1400000US13045910300,13045910300,"Census Tract 9103, Carroll County, Georgia",6559,646,6224,683,335,184
1400000US13045910400,13045910400,"Census Tract 9104, Carroll County, Georgia",3304,246,3287,246,17,22
1400000US13045910501,13045910501,"Census Tract 9105.01, Carroll County, Georgia",8572,726,7411,701,1161,329
