gisjn_tct,year,tractid,totpop_pov,povpop,povpop185,totalhh,hh100k_up,hh150k_up,tractpop,afam_pop,asn_pop,hisp_pop,totpop_age,under18,over64,povpop_pct,povpop185_pct,hh100k_pct,hh150k_pct,afam_pct,asn_pct,hisp_pct,under18_pct,over64_pct,aldi,bell.s,bi.lo,big.bear,bp.food.mart,chevron.food.mart,circle.k,citgo.food.mart,costco,cvs.pharmacy,dollar.general,dollar.tree,exxon.food.mart,family.dollar.store,flash.foods.llc,food.depot,food.lion,freds.store,harveys,iga,ingles.markets,jet.food.store,kmart,kroger,mapco.express,one.stop,piggly.wiggly,publix,quick.mart,quick.stop,quiktrip,race.trac,rite.aid,sam.s.club,save.a.lot,shell.food.mart,target,texaco.food.mart,the.fresh.market,trader.joe,walgreen.s.,walmart,wayfield,whole.foods,wholesale,winn.dixie,snap_enroll
G13045910900,Y2011,13045910900,3824,437,924,1295,348,90,3825,279,0,50,3825,715,333,11.42782427,24.16317992,26.87258687,6.94980695,7.294117647,0,1.307189542,18.69281046,8.705882353,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,881.5687329
G13045910900,Y2010,13045910900,4067,734,1432,1343,291,55,4069,257,0,39,4069,700,338,18.04770101,35.21022867,21.66790767,4.09530901,6.316048169,0,0.958466454,17.20324404,8.306709265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,759.0780832
G13045910900,Y2009,13045910900,3871,706,1380,1326,210,18,3872,174,0,42,3872,647,426,18.23818135,35.64970292,15.83710407,1.357466063,4.493801653,0,1.084710744,16.70971074,11.00206612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647.4647145
G13045910900,Y2008,13045910900,3781,587,1125,1314,189,10,3781,86,0,56,3781,677,337,15.52499339,29.75403332,14.38356164,0.761035008,2.274530547,0,1.481089659,17.90531605,8.912985983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523.1506521
G13045910300,Y2013,13045910300,5859,1031,2433,2111,265,26,5869,702,14,310,5869,921,663,17.59685953,41.52585765,12.55329228,1.231643771,11.96115181,0.238541489,5.281990118,15.69262225,11.29664338,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1485.03051
G13045910300,Y2012,13045910300,6208,913,2818,2133,220,36,6225,704,13,191,6225,1077,573,14.7068299,45.39304124,10.31411158,1.687763713,11.30923695,0.208835341,3.068273092,17.30120482,9.204819277,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1470.57768
G13045910300,Y2011,13045910300,6536,920,3096,2186,216,36,6559,898,0,335,6559,1023,590,14.07588739,47.36842105,9.881061299,1.64684355,13.69111145,0,5.107485897,15.59688977,8.99527367,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1430.025523
G13045910300,Y2010,13045910300,6260,849,2798,2211,205,56,6293,749,0,291,6293,1032,573,13.56230032,44.69648562,9.271822705,2.532790592,11.90211346,0,4.624185603,16.39917369,9.105355157,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1247.64016
G13045910300,Y2009,13045910300,6208,817,2694,2237,205,60,6243,852,0,195,6243,1024,581,13.16043814,43.39561856,9.164059008,2.682163612,13.64728496,0,3.123498318,16.40237066,9.306423194,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1087.131314
G13045910300,Y2008,13045910300,6485,741,2563,2276,246,73,6485,684,0,347,6485,1161,648,11.42636854,39.52197379,10.80843585,3.207381371,10.54741712,0,5.350809561,17.90285274,9.9922899,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,908.827688
